Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
4.901407e-02,3.100261e-04,1.101704e-02,5.675011e-02,1.370403e-01,2.570904e-01,3.280033e-01,2.097888e-01,0.000000e+00,0.000000e+00
4.904547e-02,3.110285e-04,1.104443e-02,5.684632e-02,1.371702e-01,2.571636e-01,3.278854e-01,2.095790e-01,0.000000e+00,0.000000e+00
4.907687e-02,3.120334e-04,1.107186e-02,5.694259e-02,1.373001e-01,2.572365e-01,3.277674e-01,2.093694e-01,0.000000e+00,0.000000e+00
4.910826e-02,3.130408e-04,1.109933e-02,5.703894e-02,1.374300e-01,2.573093e-01,3.276493e-01,2.091601e-01,0.000000e+00,0.000000e+00
4.913966e-02,3.140506e-04,1.112686e-02,5.713535e-02,1.375598e-01,2.573818e-01,3.275312e-01,2.089510e-01,0.000000e+00,0.000000e+00
4.917106e-02,3.150630e-04,1.115442e-02,5.723184e-02,1.376896e-01,2.574542e-01,3.274129e-01,2.087420e-01,0.000000e+00,0.000000e+00
4.920246e-02,3.160779e-04,1.118204e-02,5.732839e-02,1.378193e-01,2.575264e-01,3.272945e-01,2.085333e-01,0.000000e+00,0.000000e+00
4.923386e-02,3.170954e-04,1.120970e-02,5.742501e-02,1.379490e-01,2.575984e-01,3.271761e-01,2.083248e-01,0.000000e+00,0.000000e+00
4.926526e-02,3.181153e-04,1.123741e-02,5.752171e-02,1.380786e-01,2.576701e-01,3.270575e-01,2.081165e-01,0.000000e+00,0.000000e+00
4.929666e-02,3.191378e-04,1.126516e-02,5.761847e-02,1.382082e-01,2.577418e-01,3.269389e-01,2.079084e-01,0.000000e+00,0.000000e+00
4.932806e-02,3.201628e-04,1.129296e-02,5.771530e-02,1.383377e-01,2.578132e-01,3.268202e-01,2.077005e-01,0.000000e+00,0.000000e+00
4.935946e-02,3.211903e-04,1.132080e-02,5.781220e-02,1.384672e-01,2.578844e-01,3.267013e-01,2.074928e-01,0.000000e+00,0.000000e+00
4.939086e-02,3.222203e-04,1.134869e-02,5.790917e-02,1.385967e-01,2.579555e-01,3.265824e-01,2.072854e-01,0.000000e+00,0.000000e+00
